Tension,Smoothing,RMSE,MAE
10,0.01,2.426068481923017,1.936857075000003
10,0.1,2.7870407080687194,2.2093847540000016
10,0.5,3.545041328061668,2.7022970640000024
10,1.0,4.2704615342790655,3.1107972310000007
10,5.0,7.899201709636422,4.772579159999997
10,10.0,11.123982820599988,6.206489036000002
20,0.01,2.586793507037105,1.9864521049999997
20,0.1,2.536167056435799,1.9313658420000028
20,0.5,3.104162682462001,2.213770855000001
20,1.0,3.7161056928494984,2.5098803220000017
20,5.0,7.080248318867156,3.915179214999999
20,10.0,10.121706728212049,5.259156409999996
40,0.01,3.4057203223976975,2.4629142930000016
40,0.1,3.1888536161745957,2.182425204000001
40,0.5,3.484158984499125,2.2171696499999993
40,1.0,3.933715740438825,2.3960324979999985
40,5.0,6.997385739208137,3.673031662000002
40,10.0,9.974124629758332,5.0611260359999966
60,0.01,3.686481620966712,2.4336745429999955
60,0.1,3.658092653362366,2.2897945219999993
60,0.5,3.9464847987535836,2.3285571980000017
60,1.0,4.340889912117625,2.477975327999997
60,5.0,7.212292718002572,3.722527861000008
60,10.0,10.13330210400642,5.1413549870000095
80,0.01,4.001634807273059,2.4279013040000006
80,0.1,4.032360545975413,2.3694092739999997
80,0.5,4.319667579611883,2.4253885589999977
80,1.0,4.690130925830146,2.570900585999997
80,5.0,7.445165230356043,3.810148179000006
80,10.0,10.318519606311614,5.238689115000002
100,0.01,4.2857413796185915,2.457920060999997
100,0.1,4.334374974774715,2.4383082
100,0.5,4.61858927067339,2.5204375480000007
100,1.0,4.976707376654973,2.6635274929999992
100,5.0,7.65662208900548,3.8994946000000046
100,10.0,10.491435672927768,5.329416967999997
